UFID,NAME,DIVI,QUAL,UDDI,LENG,HEIG,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612006C00510b2547810e7047b9,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"264",264.00000000000,"2016","1117055",구로4동,524123.43186700001,"11530",구로구,"26721"
100037612006C0051f251d79bef534033,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"264",264.00000000000,"2016","1117055",구로4동,524123.43186700001,"11530",구로구,"26721"
100037612006C0051f40fbafeeebe4b91,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"264",264.00000000000,"2016","1117055",구로4동,524123.43186700001,"11530",구로구,"26721"
100037612006C0051f40fbafeeebe4b91,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"299",299.00000000000,"2016","1119072",대림3동,921021.17833799997,"11560",영등포구,"29244"
100037612006C0051ec3acb7685324538,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"265",265.00000000000,"2016","1117056",구로5동,1011733.38335000002,"11530",구로구,"33800"
100037612006C00510c58a4c27d9d426d,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"264",264.00000000000,"2016","1117055",구로4동,524123.43186700001,"11530",구로구,"26721"
100037612006C005147e3f5027ff44651,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"298",298.00000000000,"2016","1119071",대림2동,572120.04642599996,"11560",영등포구,"22177"
100037612006C0051c98490ef20344063,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"265",265.00000000000,"2016","1117056",구로5동,1011733.38335000002,"11530",구로구,"33800"
100037612006C005111ab63832ab54080,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"264",264.00000000000,"2016","1117055",구로4동,524123.43186700001,"11530",구로구,"26721"
100037612007C005109f0a54013f44c42,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"330",330.00000000000,"2016","1121069",신림동,536815.22107500001,"11620",관악구,"22682"
100037612007C0051c619ca155b464934,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"329",329.00000000000,"2016","1121068",신사동,640641.33514600003,"11620",관악구,"26356"
100037612007C0051c619ca155b464934,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"330",330.00000000000,"2016","1121069",신림동,536815.22107500001,"11620",관악구,"22682"
100037612007C0051ed60d9e431774b03,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"329",329.00000000000,"2016","1121068",신사동,640641.33514600003,"11620",관악구,"26356"
100037612007C0051ed60d9e431774b03,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"330",330.00000000000,"2016","1121069",신림동,536815.22107500001,"11620",관악구,"22682"
