UFID,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612018C00711b26a54032984634,C0076116,S2114478,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C007121df3bfc0aff44f7,C0076116,S2114478,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0071ffb13920616a458b,C0076116,S2114478,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00715212011b39264fbc,C0076116,S2114478,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C007181f6bda46f48442b,C0076116,S2114478,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00717dc27acd59d647e0,C0076116,S2114478,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C0071a6a24c198dff4693,C0076116,S2114478,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C00715fac9c6bde9b4e6e,C0076116,S2114478,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00718258b9d1724d4be2,C0076116,S2114478,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00718b88ae0ca9394f7c,C0076116,S2114478,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C007197ee212a30214d05,C0076116,S2114478,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00718abce7f0ccfd44a8,C0076116,S2114478,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00714d2c5613b6e64c59,C0076116,S2114478,"328",328.00000000000,"2016","1121066",서림동,940546.69252899999,"11620",관악구,"24721"
