ALIAS,REMARK,NTFDATE,SGG_OID,COL_ADM_SE,MNUM,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
,,,"68","11305",14800001130520230036UMB1000005001,"134",134.00000000000,"2016","1109063",수유1동,1647169.83743000007,"11305",강북구,"22042"
,,,"68","11305",14800001130520230036UMB1000005001,"142",142.00000000000,"2016","1109074",우이동,10583023.91239999980,"11305",강북구,"21497"
,,,"68","11305",14800001130520230036UMB1000005001,"143",143.00000000000,"2016","1109075",인수동,2992521.11216000002,"11305",강북구,"32962"
,,,"68","11305",14800001130520230036UMB1000005001,"156",156.00000000000,"2016","1110064",도봉1동,8445069.85745999962,"11320",도봉구,"22554"
,,,"69","11305",14800001130520230036UMB2000005001,"118",118.00000000000,"2016","1108065",정릉4동,3568232.35925999982,"11290",성북구,"26995"
,,,"69","11305",14800001130520230036UMB2000005001,"134",134.00000000000,"2016","1109063",수유1동,1647169.83743000007,"11305",강북구,"22042"
,,,"69","11305",14800001130520230036UMB2000005001,"137",137.00000000000,"2016","1109069",삼양동,924942.97426399996,"11305",강북구,"26031"
,,,"69","11305",14800001130520230036UMB2000005001,"142",142.00000000000,"2016","1109074",우이동,10583023.91239999980,"11305",강북구,"21497"
,,,"69","11305",14800001130520230036UMB2000005001,"143",143.00000000000,"2016","1109075",인수동,2992521.11216000002,"11305",강북구,"32962"
,,,"69","11305",14800001130520230036UMB2000005001,"144",144.00000000000,"2016","1110051",쌍문1동,1174885.66268999991,"11320",도봉구,"22474"
,,,"69","11305",14800001130520230036UMB2000005001,"150",150.00000000000,"2016","1110057",방학3동,1949549.84883000003,"11320",도봉구,"28964"
,,,"69","11305",14800001130520230036UMB2000005001,"156",156.00000000000,"2016","1110064",도봉1동,8445069.85745999962,"11320",도봉구,"22554"
,,,"70","11305",14800001130520230036UMB5000005001,"134",134.00000000000,"2016","1109063",수유1동,1647169.83743000007,"11305",강북구,"22042"
,,,"70","11305",14800001130520230036UMB5000005001,"142",142.00000000000,"2016","1109074",우이동,10583023.91239999980,"11305",강북구,"21497"
,,,"70","11305",14800001130520230036UMB5000005001,"143",143.00000000000,"2016","1109075",인수동,2992521.11216000002,"11305",강북구,"32962"
,,,"42","11320",14800001132020230036UMB5000005007,"156",156.00000000000,"2016","1110064",도봉1동,8445069.85745999962,"11320",도봉구,"22554"
,,,"43","11320",14800001132020230036UMB1000005011,"142",142.00000000000,"2016","1109074",우이동,10583023.91239999980,"11305",강북구,"21497"
,,,"43","11320",14800001132020230036UMB1000005011,"156",156.00000000000,"2016","1110064",도봉1동,8445069.85745999962,"11320",도봉구,"22554"
,,,"44","11320",14800001132020230036UMB2000050012,"142",142.00000000000,"2016","1109074",우이동,10583023.91239999980,"11305",강북구,"21497"
,,,"44","11320",14800001132020230036UMB2000050012,"144",144.00000000000,"2016","1110051",쌍문1동,1174885.66268999991,"11320",도봉구,"22474"
,,,"44","11320",14800001132020230036UMB2000050012,"149",149.00000000000,"2016","1110056",방학2동,1091985.45072000008,"11320",도봉구,"21381"
,,,"44","11320",14800001132020230036UMB2000050012,"150",150.00000000000,"2016","1110057",방학3동,1949549.84883000003,"11320",도봉구,"28964"
,,,"44","11320",14800001132020230036UMB2000050012,"156",156.00000000000,"2016","1110064",도봉1동,8445069.85745999962,"11320",도봉구,"22554"
,,,"37","11320",14800001132020230036UMB5000005002,"156",156.00000000000,"2016","1110064",도봉1동,8445069.85745999962,"11320",도봉구,"22554"
,,,"38","11320",14800001132020230036UMB5000005003,"156",156.00000000000,"2016","1110064",도봉1동,8445069.85745999962,"11320",도봉구,"22554"
,,,"36","11320",14800001132020230036UMB5000005005,"156",156.00000000000,"2016","1110064",도봉1동,8445069.85745999962,"11320",도봉구,"22554"
,,,"34","11320",14800001132020230036UMB2000005004,"156",156.00000000000,"2016","1110064",도봉1동,8445069.85745999962,"11320",도봉구,"22554"
,,,"40","11320",14800001132020230036UMB3100005006,"156",156.00000000000,"2016","1110064",도봉1동,8445069.85745999962,"11320",도봉구,"22554"
,,,"371","11380",14800001138020120057UMB5000001000,"189",189.00000000000,"2016","1112071",진관동,11556551.00459999964,"11380",은평구,"57618"
,,,"695","11380",14800001138020230036UMB5000001003,"189",189.00000000000,"2016","1112071",진관동,11556551.00459999964,"11380",은평구,"57618"
,,,"698","11380",14800001138020230036UMB2000001002,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"698","11380",14800001138020230036UMB2000001002,"177",177.00000000000,"2016","1112051",녹번동,1792888.47239000001,"11380",은평구,"38005"
,,,"698","11380",14800001138020230036UMB2000001002,"178",178.00000000000,"2016","1112052",불광1동,3122614.04577000020,"11380",은평구,"41244"
,,,"698","11380",14800001138020230036UMB2000001002,"189",189.00000000000,"2016","1112071",진관동,11556551.00459999964,"11380",은평구,"57618"
,,,"698","11380",14800001138020230036UMB2000001002,"190",190.00000000000,"2016","1112072",불광2동,1395566.43809999991,"11380",은평구,"29726"
,,,"698","11380",14800001138020230036UMB2000001002,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
,,,"696","11380",14800001138020230036UMB5000001004,"178",178.00000000000,"2016","1112052",불광1동,3122614.04577000020,"11380",은평구,"41244"
,,,"697","11380",14800001138020230036UMB1000001003,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"697","11380",14800001138020230036UMB1000001003,"178",178.00000000000,"2016","1112052",불광1동,3122614.04577000020,"11380",은평구,"41244"
,,,"697","11380",14800001138020230036UMB1000001003,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
(구)공원집단시설지구,,,"691","11380",14800001138020230036UMB4000001001,"189",189.00000000000,"2016","1112071",진관동,11556551.00459999964,"11380",은평구,"57618"
,,,"692","11380",14800001138020230036UMB1000001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"692","11380",14800001138020230036UMB1000001001,"178",178.00000000000,"2016","1112052",불광1동,3122614.04577000020,"11380",은평구,"41244"
,,,"692","11380",14800001138020230036UMB1000001001,"189",189.00000000000,"2016","1112071",진관동,11556551.00459999964,"11380",은평구,"57618"
,,,"692","11380",14800001138020230036UMB1000001001,"190",190.00000000000,"2016","1112072",불광2동,1395566.43809999991,"11380",은평구,"29726"
,,,"692","11380",14800001138020230036UMB1000001001,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
,,,"693","11380",14800001138020230036UMB5000001001,"189",189.00000000000,"2016","1112071",진관동,11556551.00459999964,"11380",은평구,"57618"
,,,"694","11380",14800001138020230036UMB5000001002,"189",189.00000000000,"2016","1112071",진관동,11556551.00459999964,"11380",은평구,"57618"
자연보존지구,,,"353","11410",14800001141020090107UMB1000011000,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
자연환경지구,,,"354","11410",14800001141020090107UMB2000012000,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
자연환경지구,,,"354","11410",14800001141020090107UMB2000012000,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
자연환경지구,,,"354","11410",14800001141020090107UMB2000012000,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
