,AREA,PERIMETER,ELEVATION
173,201205.31,548179.91,5.69
174,201205.31,548089.91,5.53
175,201205.31,547999.91,5.5
176,201205.31,547909.91,5.42
177,201205.31,547819.91,5.15
178,201205.31,547729.91,4.83
179,201205.31,547639.91,4.56
180,201205.31,547549.91,4.28
181,201205.31,547459.91,4.03
182,201205.31,547369.91,3.81
183,201205.31,547279.91,3.85
184,201205.31,547189.91,5.31
185,201205.31,547099.91,9.85
186,201205.31,547009.91,15.41
187,201205.31,546919.91,16.55
188,201205.31,546829.91,14.74
189,201205.31,546739.91,13.98
190,201205.31,546649.91,13.93
191,201205.31,546559.91,13.52
192,201205.31,546469.91,13.09
193,201205.31,546379.91,13.02
194,201205.31,546289.91,12.75
195,201205.31,546199.91,12.47
196,201205.31,546109.91,12.75
197,201205.31,546019.91,12.72
198,201205.31,545929.91,12.38
199,201205.31,545839.91,12.29
200,201205.31,545749.91,12.01
201,201205.31,545659.91,13.98
202,201205.31,545569.91,21.19
203,201295.31,548539.91,28.47
204,201295.31,548449.91,10.21
205,201295.31,548359.91,5.47
206,201295.31,548269.91,5.23
207,201295.31,548179.91,5.23
208,201295.31,548089.91,5.22
209,201295.31,547999.91,5.19
210,201295.31,547909.91,5.12
211,201295.31,547819.91,4.89
212,201295.31,547729.91,4.64
213,201295.31,547639.91,4.41
214,201295.31,547549.91,4.16
215,201295.31,547459.91,3.92
216,201295.31,547369.91,3.98
217,201295.31,547279.91,5.66
218,201295.31,547189.91,9.96
219,201295.31,547099.91,14.3
220,201295.31,547009.91,16.71
221,201295.31,546919.91,15.27
222,201295.31,546829.91,13.67
223,201295.31,546739.91,13.58
224,201295.31,546649.91,13.58
225,201295.31,546559.91,13.48
226,201295.31,546469.91,13.36
227,201295.31,546379.91,13.75
228,201295.31,546289.91,14.43
229,201295.31,546199.91,13.75
230,201295.31,546109.91,13.66
231,201295.31,546019.91,13.61
232,201295.31,545929.91,13.24
233,201295.31,545839.91,13.77
234,201295.31,545749.91,14.34
235,201295.31,545659.91,18.24
236,201295.31,545569.91,24.78
237,201295.31,545479.91,23.6
238,201385.31,548629.91,21.85
239,201385.31,548539.91,9.64
240,201385.31,548449.91,5.26
241,201385.31,548359.91,5.15
242,201385.31,548269.91,5.07
243,201385.31,548179.91,5.02
244,201385.31,548089.91,4.96
245,201385.31,547999.91,4.91
246,201385.31,547909.91,4.84
247,201385.31,547819.91,4.63
248,201385.31,547729.91,4.41
249,201385.31,547639.91,4.2
250,201385.31,547549.91,3.98
251,201385.31,547459.91,4.14
252,201385.31,547369.91,5.98
253,201385.31,547279.91,10.32
254,201385.31,547189.91,13.35
255,201385.31,547099.91,16.67
256,201385.31,547009.91,16.35
257,201385.31,546919.91,13.88
258,201385.31,546829.91,13.07
259,201385.31,546739.91,13.26
260,201385.31,546649.91,13.47
261,201385.31,546559.91,14.23
262,201385.31,546469.91,15.16
263,201385.31,546379.91,15.5
264,201385.31,546289.91,16.36
265,201385.31,546199.91,15.78
266,201385.31,546109.91,14.36
267,201385.31,546019.91,13.48
268,201385.31,545929.91,13.35
269,201385.31,545839.91,14.12
270,201385.31,545749.91,16.6
271,201385.31,545659.91,23.69
272,201385.31,545569.91,26.38
273,201385.31,545479.91,23.51
274,201385.31,545389.91,21.32
275,201385.31,545299.91,19.29
276,201475.31,548719.91,10.3
277,201475.31,548629.91,6.23
278,201475.31,548539.91,5.53
279,201475.31,548449.91,5.22
280,201475.31,548359.91,5.07
281,201475.31,548269.91,4.95
282,201475.31,548179.91,4.84
283,201475.31,548089.91,4.75
284,201475.31,547999.91,4.67
285,201475.31,547909.91,4.58
286,201475.31,547819.91,4.38
287,201475.31,547729.91,4.17
288,201475.31,547639.91,3.97
289,201475.31,547549.91,4.25
290,201475.31,547459.91,6.24
291,201475.31,547369.91,10.18
292,201475.31,547279.91,13.85
293,201475.31,547189.91,15.48
294,201475.31,547099.91,17.45
295,201475.31,547009.91,17.23
296,201475.31,546919.91,14.72
297,201475.31,546829.91,13.93
298,201475.31,546739.91,15.21
299,201475.31,546649.91,16.23
300,201475.31,546559.91,17.02
301,201475.31,546469.91,17.0
302,201475.31,546379.91,15.47
303,201475.31,546289.91,14.92
304,201475.31,546199.91,16.23
305,201475.31,546109.91,15.27
306,201475.31,546019.91,13.7
307,201475.31,545929.91,13.57
308,201475.31,545839.91,13.73
309,201475.31,545749.91,14.83
310,201475.31,545659.91,22.78
311,201475.31,545569.91,27.07
312,201475.31,545479.91,24.31
313,201475.31,545389.91,20.91
314,201475.31,545299.91,19.42
315,201475.31,545209.91,18.8
316,201475.31,545119.91,17.79
317,201565.31,548809.91,6.98
318,201565.31,548719.91,5.98
319,201565.31,548629.91,5.76
320,201565.31,548539.91,5.41
321,201565.31,548449.91,5.14
322,201565.31,548359.91,4.96
323,201565.31,548269.91,4.8
324,201565.31,548179.91,4.66
325,201565.31,548089.91,4.52
326,201565.31,547999.91,4.4
327,201565.31,547909.91,4.29
328,201565.31,547819.91,4.08
329,201565.31,547729.91,4.58
330,201565.31,547639.91,5.67
331,201565.31,547549.91,7.11
332,201565.31,547459.91,11.12
333,201565.31,547369.91,13.68
334,201565.31,547279.91,14.75
335,201565.31,547189.91,17.14
336,201565.31,547099.91,17.97
337,201565.31,547009.91,17.34
338,201565.31,546919.91,15.91
339,201565.31,546829.91,15.44
340,201565.31,546739.91,18.28
341,201565.31,546649.91,20.57
342,201565.31,546559.91,20.98
343,201565.31,546469.91,19.41
344,201565.31,546379.91,18.98
345,201565.31,546289.91,19.89
346,201565.31,546199.91,20.81
347,201565.31,546109.91,19.97
348,201565.31,546019.91,18.29
349,201565.31,545929.91,17.65
350,201565.31,545839.91,16.97
351,201565.31,545749.91,18.33
352,201565.31,545659.91,23.06
353,201565.31,545569.91,28.38
354,201565.31,545479.91,26.82
355,201565.31,545389.91,23.28
356,201565.31,545299.91,22.63
357,201565.31,545209.91,21.99
358,201565.31,545119.91,19.67
359,201565.31,545029.91,17.21
360,201655.31,548899.91,5.87
361,201655.31,548809.91,5.81
362,201655.31,548719.91,5.7
363,201655.31,548629.91,5.55
364,201655.31,548539.91,5.25
365,201655.31,548449.91,4.99
366,201655.31,548359.91,4.81
367,201655.31,548269.91,4.63
368,201655.31,548179.91,4.45
369,201655.31,548089.91,4.27
370,201655.31,547999.91,4.1
371,201655.31,547909.91,3.95
372,201655.31,547819.91,4.53
373,201655.31,547729.91,7.07
374,201655.31,547639.91,10.2
375,201655.31,547549.91,11.86
376,201655.31,547459.91,15.45
377,201655.31,547369.91,16.66
378,201655.31,547279.91,16.27
379,201655.31,547189.91,16.01
380,201655.31,547099.91,14.35
381,201655.31,547009.91,14.69
382,201655.31,546919.91,15.8
383,201655.31,546829.91,15.98
384,201655.31,546739.91,17.6
385,201655.31,546649.91,19.79
386,201655.31,546559.91,21.31
387,201655.31,546469.91,22.54
388,201655.31,546379.91,23.91
389,201655.31,546289.91,25.25
390,201655.31,546199.91,26.13
391,201655.31,546109.91,27.95
392,201655.31,546019.91,28.48
393,201655.31,545929.91,27.37
394,201655.31,545839.91,24.49
395,201655.31,545749.91,25.23
396,201655.31,545659.91,26.26
397,201655.31,545569.91,26.31
398,201655.31,545479.91,27.26
399,201655.31,545389.91,28.3
400,201655.31,545299.91,27.79
401,201655.31,545209.91,25.09
402,201655.31,545119.91,20.23
403,201655.31,545029.91,15.8
404,201655.31,544939.91,12.84
405,201655.31,544849.91,12.46
406,201745.31,548899.91,5.84
407,201745.31,548809.91,5.72
408,201745.31,548719.91,5.6
409,201745.31,548629.91,5.46
410,201745.31,548539.91,5.18
411,201745.31,548449.91,4.92
412,201745.31,548359.91,4.72
413,201745.31,548269.91,4.53
414,201745.31,548179.91,4.35
415,201745.31,548089.91,4.15
416,201745.31,547999.91,3.95
417,201745.31,547909.91,3.79
418,201745.31,547819.91,6.81
419,201745.31,547729.91,10.36
420,201745.31,547639.91,12.76
421,201745.31,547549.91,14.6
422,201745.31,547459.91,16.1
423,201745.31,547369.91,15.88
424,201745.31,547279.91,15.57
425,201745.31,547189.91,15.23
426,201745.31,547099.91,14.66
427,201745.31,547009.91,16.34
428,201745.31,546919.91,18.08
429,201745.31,546829.91,17.34
430,201745.31,546739.91,16.52
431,201745.31,546649.91,17.13
432,201745.31,546559.91,18.4
433,201745.31,546469.91,20.1
434,201745.31,546379.91,23.48
435,201745.31,546289.91,27.89
436,201745.31,546199.91,32.22
437,201745.31,546109.91,34.6
438,201745.31,546019.91,34.89
439,201745.31,545929.91,33.5
440,201745.31,545839.91,29.58
441,201745.31,545749.91,27.43
442,201745.31,545659.91,28.3
443,201745.31,545569.91,27.73
444,201745.31,545479.91,27.96
445,201745.31,545389.91,26.65
446,201745.31,545299.91,21.91
447,201745.31,545209.91,17.31
448,201745.31,545119.91,14.23
449,201745.31,545029.91,12.49
450,201745.31,544939.91,12.1
451,201745.31,544849.91,12.53
452,201745.31,544759.91,13.27
453,201745.31,544669.91,13.78
454,201835.31,548899.91,5.64
455,201835.31,548809.91,5.56
456,201835.31,548719.91,5.47
457,201835.31,548629.91,5.35
458,201835.31,548539.91,5.11
459,201835.31,548449.91,4.86
460,201835.31,548359.91,4.66
461,201835.31,548269.91,4.45
462,201835.31,548179.91,4.25
463,201835.31,548089.91,4.04
464,201835.31,547999.91,3.81
465,201835.31,547909.91,4.68
466,201835.31,547819.91,10.23
467,201835.31,547729.91,13.8
468,201835.31,547639.91,16.36
469,201835.31,547549.91,17.38
470,201835.31,547459.91,15.79
471,201835.31,547369.91,14.86
472,201835.31,547279.91,14.78
473,201835.31,547189.91,14.27
474,201835.31,547099.91,15.12
475,201835.31,547009.91,17.06
476,201835.31,546919.91,18.18
477,201835.31,546829.91,18.37
478,201835.31,546739.91,17.86
479,201835.31,546649.91,17.24
480,201835.31,546559.91,17.62
481,201835.31,546469.91,19.32
482,201835.31,546379.91,24.9
483,201835.31,546289.91,33.36
484,201835.31,546199.91,41.5
485,201835.31,546109.91,44.02
486,201835.31,546019.91,40.37
487,201835.31,545929.91,35.53
488,201835.31,545839.91,31.65
489,201835.31,545749.91,28.2
490,201835.31,545659.91,25.29
491,201835.31,545569.91,22.16
492,201835.31,545479.91,22.14
493,201835.31,545389.91,20.65
494,201835.31,545299.91,16.39
495,201835.31,545209.91,13.96
496,201835.31,545119.91,13.07
497,201835.31,545029.91,12.26
498,201835.31,544939.91,12.32
499,201835.31,544849.91,12.56
500,201835.31,544759.91,12.66
501,201835.31,544669.91,12.94
502,201835.31,544579.91,13.12
503,201835.31,544489.91,13.11
504,201925.31,548899.91,5.44
505,201925.31,548809.91,5.4
506,201925.31,548719.91,5.34
507,201925.31,548629.91,5.25
508,201925.31,548539.91,5.04
509,201925.31,548449.91,4.81
510,201925.31,548359.91,4.61
511,201925.31,548269.91,4.39
