UFID,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612019E00318e720f106a474ad4,E0032111,S2115717,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019E00317771160f096b4036,E0032111,S2115717,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612019E003120ce9eca89634ec3,E0032111,S2115717,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019E0031b7eb701622cc41e1,E0032111,S2115717,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612020E0031cf9152de3faf4eab,E0032111,S2118946,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020E00318b4b3d54404e4c10,E0032111,S2118946,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020E00312fbfd0cff4d64ace,E0032111,S2118946,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612005E0031ba9d00872d35454a,E0032111,S2113176,"268",268.00000000000,"2016","1117064",개봉2동,781957.44478699996,"11530",구로구,"33561"
100037612003E003162e3dfc0f3d44c19,E0032111,S2113176,"271",271.00000000000,"2016","1117068",오류2동,4504714.23794000037,"11530",구로구,"49302"
100037612004E00311f1fe4b003784330,E0032111,S2113176,"270",270.00000000000,"2016","1117067",오류1동,727301.61460099998,"11530",구로구,"22696"
100037612004E0031f25f33fbe7804a2e,E0032111,S2113176,"269",269.00000000000,"2016","1117065",개봉3동,827818.60974400002,"11530",구로구,"22184"
100037612020E00314bc60526389f4fe0,E0032111,S2111703,"352",352.00000000000,"2016","1122063",방배2동,1902603.53104000003,"11650",서초구,"21342"
100037612020E00310f9ff510dedc4d4b,E0032111,S2111703,"352",352.00000000000,"2016","1122063",방배2동,1902603.53104000003,"11650",서초구,"21342"
100037612020E00310b89516bc91d46d3,E0032111,S2111703,"353",353.00000000000,"2016","1122064",방배3동,2373349.17644000007,"11650",서초구,"22578"
100037612020E00318c8b169662694899,E0032111,S2111703,"352",352.00000000000,"2016","1122063",방배2동,1902603.53104000003,"11650",서초구,"21342"
100037612020E0031e70517dbe58d431d,E0032111,S2111703,"353",353.00000000000,"2016","1122064",방배3동,2373349.17644000007,"11650",서초구,"22578"
100037612010E0031c7c7c0832d614b97,E0032111,S2111703,"318",318.00000000000,"2016","1120073",사당2동,2761137.80009000003,"11590",동작구,"28575"
100037612010E0031c7c7c0832d614b97,E0032111,S2111703,"345",345.00000000000,"2016","1122056",반포본동,971806.64388600003,"11650",서초구,"12329"
100037612010E0031c7c7c0832d614b97,E0032111,S2111703,"347",347.00000000000,"2016","1122058",반포2동,1394982.85125000007,"11650",서초구,"16424"
100037612010E0031c7c7c0832d614b97,E0032111,S2111703,"350",350.00000000000,"2016","1122061",방배본동,677002.37038600002,"11650",서초구,"21562"
100037612026E0031b27dc010430f4166,E0032111,S2119417,"262",262.00000000000,"2016","1117052",구로1동,1008158.31902000005,"11530",구로구,"21849"
100037612026E0031b27dc010430f4166,E0032111,S2119417,"268",268.00000000000,"2016","1117064",개봉2동,781957.44478699996,"11530",구로구,"33561"
100037612026E0031b27dc010430f4166,E0032111,S2119417,"269",269.00000000000,"2016","1117065",개봉3동,827818.60974400002,"11530",구로구,"22184"
100037612026E0031b27dc010430f4166,E0032111,S2119417,"271",271.00000000000,"2016","1117068",오류2동,4504714.23794000037,"11530",구로구,"49302"
100037612026E0031b27dc010430f4166,E0032111,S2119417,"274",274.00000000000,"2016","1117071",구로2동,1702108.86743000010,"11530",구로구,"35948"
100037612026E0031b27dc010430f4166,E0032111,S2119417,"275",275.00000000000,"2016","1117072",개봉1동,1318945.18790000002,"11530",구로구,"34446"
100037612026E0031b27dc010430f4166,E0032111,S2119417,"276",276.00000000000,"2016","1118051",가산동,2501939.00565999979,"11545",금천구,"24522"
100037612026E0031b27dc010430f4166,E0032111,S2119417,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612026E0031b27dc010430f4166,E0032111,S2119417,"281",281.00000000000,"2016","1118057",시흥1동,1522798.84878999996,"11545",금천구,"37144"
100037612026E0031b27dc010430f4166,E0032111,S2119417,"283",283.00000000000,"2016","1118059",시흥3동,1260660.49756999989,"11545",금천구,"11648"
