UFID,DIVI,QUAL,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037608064C006131444849283f47b8,SUD001,SUQ000,C0062241,S2116335,"251",251.00000000000,"2016","1116064",가양1동,4965780.72051000036,"11500",강서구,"34090"
100037705073C0061cd2c6cd090084edf,SUD001,SUQ000,C0062241,S2116335,"62",62.00000000000,"2016","1104070",용답동,2375333.52698000008,"11200",성동구,"13980"
100037705095C0061d93147e9f6ba4b94,SUD001,SUQ000,C0062241,S2116335,"381",381.00000000000,"2016","1124052",풍납2동,2562573.27869000006,"11710",송파구,"24881"
100037705095C0061d93147e9f6ba4b94,SUD001,SUQ000,C0062241,S2116335,"400",400.00000000000,"2016","1124075",잠실4동,779600.74913400004,"11710",송파구,"23856"
100037705095C006119b069c4a0cd46d2,SUD001,SUQ000,C0062241,S2116335,"381",381.00000000000,"2016","1124052",풍납2동,2562573.27869000006,"11710",송파구,"24881"
100037705095C0061cee8b8d0c31c4c2c,SUD001,SUQ000,C0062241,S2116335,"400",400.00000000000,"2016","1124075",잠실4동,779600.74913400004,"11710",송파구,"23856"
100037705094C00611dfb75070fc646d4,SUD001,SUQ000,C0062241,S2119564,"399",399.00000000000,"2016","1124071",잠실본동,1028207.00960999995,"11710",송파구,"29675"
100037705077C00615071a5bc8cfe43db,SUD001,SUQ000,C0062241,S2119564,"407",407.00000000000,"2016","1125051",강일동,3644657.44305999996,"11740",강동구,"32535"
100037612018C00618a67ad9da968433a,SUD003,SUQ000,C0062243,S2119515,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C006104ebd650992d4113,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C006180af595880964f14,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C0061ef184b135ba648d4,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C006175369087ce054f94,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C006145b8ef455655421b,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612020C0061cfc46ed30ac740d4,SUD003,SUQ000,C0062243,S2119515,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C00616dab376fcbdd478d,SUD003,SUQ000,C0062243,S2119515,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612019C006188518a38d04647c1,SUD003,SUQ000,C0062243,S2119515,"324",324.00000000000,"2016","1121062",인헌동,1088265.90537999989,"11620",관악구,"27297"
100037612019C0061447f2fc5512c4671,SUD003,SUQ000,C0062243,S2119515,"324",324.00000000000,"2016","1121062",인헌동,1088265.90537999989,"11620",관악구,"27297"
100037612019C00615488b8e5b2d44281,SUD003,SUQ000,C0062243,S2119515,"324",324.00000000000,"2016","1121062",인헌동,1088265.90537999989,"11620",관악구,"27297"
